category,item,value
participation,Presentation/chairing,
participation,Join in discussion,
participation,Project presentation,Movie.
git usage,Git usage,Proper use of Git functionalities. Consistent contribution history.
git usage,README,Easy to follow, mentioning directory structure and how to run the code.
git usage,Code quality, Directory management. Readable code which follows conventions. [See here](https://peps.python.org/pep-0008/). Runnable (we will test your codes at the end).
git usage,Bridge,
git usage,Stopping conditions,
git usage,Number of codes used,Choice of code should be well motivated.
git usage,Multiphysics,Simulation considers 2+ physical regimes (Stellar Evolution // Gravity // Hydrodynamics // Radiative Transfer // Chemistry).
report,Format,[See here](https://www.nature.com/nature/for-authors/formatting-guide) (under 'Format of Articles').
report,Structure, [See here](https://www.overleaf.com/latex/templates/springer-nature-latex-template/myxmhdsbzkyd).
report,Writing style,[See here](https://www.nature.com/nature-portfolio/for-authors/write).
report,AI assitance,
